0) 3d:-1.80478 -4.20141 -8.94485      2d: 924.336 1287.84
91) 3d:4.66794 1.39351 -8.04168      2d: 158.917 650.83
92) 3d:4.47361 0.223771 -8.20641      2d: 191.39 795.402
93) 3d:3.40471 1.81568 -8.33075      2d: 324.382 606.449
94) 3d:4.59011 -0.553985 -8.2759      2d: 180.993 888.646
95) 3d:3.85824 1.46113 -8.09917      2d: 260.929 643.868
96) 3d:3.72586 -2.29672 -8.81307      2d: 304.345 1080.63
97) 3d:3.73803 -3.91406 -8.97563      2d: 308.69 1255.07
98) 3d:3.19176 2.2147 -8.35701      2d: 350.424 559.95
99) 3d:3.10855 0.487298 -8.81974      2d: 373.595 767.377
100) 3d:3.92634 0.123065 -8.37687      2d: 264.522 807.575
101) 3d:4.14323 1.21727 -8.14571      2d: 228.335 674.549
102) 3d:4.06274 -1.98208 -8.58815      2d: 257.447 1051.1
103) 3d:0.956084 -0.982016 -8.97393      2d: 615.964 930.199
104) 3d:4.06345 2.15254 -8.0247      2d: 232.363 556.887
105) 3d:3.70033 0.0154799 -8.4108      2d: 292.518 819.97
106) 3d:4.17996 -3.0925 -8.63551      2d: 245.986 1177.31
107) 3d:3.22647 -1.2595 -8.99154      2d: 365.357 960.996
108) 3d:4.21555 1.63733 -8.04918      2d: 214.869 620.974
109) 3d:3.43642 -2.80868 -9.04875      2d: 344.094 1130.27
110) 3d:3.97217 2.15264 -8.0274      2d: 243.726 556.969
111) 3d:4.08415 -2.14776 -8.59255      2d: 255.121 1069.36
112) 3d:3.46537 -1.32893 -8.94337      2d: 337.563 969.589
113) 3d:4.36121 1.21006 -8.15358      2d: 202.266 675.685
114) 3d:3.51619 -1.10632 -8.77265      2d: 326.499 947.053
115) 3d:4.69047 -2.37469 -8.45034      2d: 178.121 1100.98
116) 3d:3.76336 -0.900241 -8.53604      2d: 289.953 926.631
117) 3d:3.89517 -0.732004 -8.53405      2d: 274.557 907.154
118) 3d:2.94641 1.40649 -8.8291      2d: 391.885 664.413
119) 3d:4.00432 -0.239283 -8.41103      2d: 256.773 850.34
120) 3d:4.27649 0.275902 -8.21512      2d: 215.564 788.948
121) 3d:3.74219 -2.56872 -8.79541      2d: 301.931 1112.03
122) 3d:3.81017 -2.57657 -8.76517      2d: 293.167 1113.72
123) 3d:2.9826 1.22153 -8.81401      2d: 387.479 684.931
124) 3d:4.53687 0.127602 -8.15393      2d: 181.03 806.425
125) 3d:4.83667 -3.45478 -8.56734      2d: 167.1 1222.28
126) 3d:3.93162 -1.57236 -8.55989      2d: 271.432 1004.27
127) 3d:4.19033 -0.370466 -8.33706      2d: 231.579 866.217
128) 3d:4.82922 -0.298274 -8.23428      2d: 150.087 858.162
129) 3d:4.34622 1.28347 -8.09104      2d: 200.963 665.506
130) 3d:3.20058 -1.07527 -9.00184      2d: 368.464 940.578
131) 3d:3.87292 -0.728469 -8.53865      2d: 277.316 906.633
132) 3d:4.91846 -3.14826 -8.52102      2d: 155.185 1188.81
133) 3d:3.41898 -1.09695 -8.83864      2d: 339.513 945.095
134) 3d:3.28471 -1.32568 -9.00743      2d: 359.382 968.022
135) 3d:3.86996 -0.934502 -8.52814      2d: 277.273 930.646
136) 3d:4.32943 0.472494 -8.25666      2d: 211.172 765.35
137) 3d:2.95713 1.75942 -8.69259      2d: 387.19 621.886
138) 3d:1.38907 -4.03368 -9.91581      2d: 572.813 1226.25
139) 3d:4.67837 -3.41717 -8.56398      2d: 185.253 1217.99
140) 3d:3.9666 -0.11799 -8.39844      2d: 260.689 836.302
141) 3d:3.74383 -1.35545 -8.67715      2d: 297.412 976.918
142) 3d:1.39208 -4.04674 -10.0866      2d: 573.182 1221.01
143) 3d:3.80234 -2.48856 -8.76171      2d: 293.918 1103.83
144) 3d:4.664 1.35791 -8.04196      2d: 159.419 655.26
145) 3d:4.5034 -0.640226 -8.29604      2d: 192.369 898.489
146) 3d:0.215385 -4.04404 -9.15163      2d: 697.231 1260.05
147) 3d:3.60983 -3.13624 -9.00449      2d: 323.715 1167.97
148) 3d:4.18345 2.26322 -7.94412      2d: 213.627 540.45
149) 3d:4.80261 -3.16886 -8.52142      2d: 168.686 1191.17
150) 3d:3.9509 -3.24598 -8.7885      2d: 278.185 1188.68
